"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"03 Maxvorstadt",44.3,498,1125,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"04 Schwabing - West",40.9,701,1716,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"05 Au - Haidhausen",39.8,687,1727,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"06 Sendling",49.3,595,1207,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"07 Sendling - Westpark",55.3,741,1340,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"08 Schwanthalerhöhe",58.9,527,895,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"09 Neuhausen - Nymphenburg",44.5,1105,2482,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"10 Moosach",60.6,828,1366,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"11 Milbertshofen - Am Hart",74.5,1426,1914,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"12 Schwabing - Freimann",50.2,821,1637,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"13 Bogenhausen",45.4,1014,2235,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"14 Berg am Laim",64.3,758,1179,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"15 Trudering - Riem",46.5,1099,2364,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"16 Ramersdorf - Perlach",67.5,2060,3050,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"17 Obergiesing - Fasangarten",58,766,1320,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"18 Untergiesing - Harlaching",43.7,582,1332,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",47.6,1019,2139,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"20 Hadern",52.3,635,1213,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"21 Pasing - Obermenzing",39.1,782,2000,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"22 Aubing - Lochhausen - Langwied",51.8,553,1068,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"23 Allach - Untermenzing",37.6,330,877,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"24 Feldmoching - Hasenbergl",58.4,957,1640,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2008,"25 Laim",52.6,669,1271,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"Stadt München",51.3,19605,38213,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"01 Altstadt - Lehel",43,213,495,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"02 Ludwigsvorstadt - Isarvorstadt",43.2,567,1314,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"03 Maxvorstadt",43.4,475,1095,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"04 Schwabing - West",43,689,1602,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"05 Au - Haidhausen",41,681,1660,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"06 Sendling",50.6,596,1179,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"07 Sendling - Westpark",55.5,772,1391,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"08 Schwanthalerhöhe",59.5,490,824,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"09 Neuhausen - Nymphenburg",45.4,1090,2400,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"10 Moosach",61.3,857,1399,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"11 Milbertshofen - Am Hart",72.7,1420,1952,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"12 Schwabing - Freimann",50.2,810,1613,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"13 Bogenhausen",45.6,1017,2230,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"14 Berg am Laim",61.5,702,1141,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"15 Trudering - Riem",43.4,964,2219,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"16 Ramersdorf - Perlach",66.8,1981,2967,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"17 Obergiesing - Fasangarten",57.4,769,1340,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"18 Untergiesing - Harlaching",41.5,545,1314,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",46.6,1006,2161,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"20 Hadern",53,680,1282,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"21 Pasing - Obermenzing",40.3,794,1972,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"22 Aubing - Lochhausen - Langwied",53.2,550,1034,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"23 Allach - Untermenzing",38.6,308,798,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"24 Feldmoching - Hasenbergl",58.3,949,1628,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2007,"25 Laim",56.5,680,1203,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"Stadt München",51.3,18898,36806,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"01 Altstadt - Lehel",41.7,207,496,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"02 Ludwigsvorstadt - Isarvorstadt",40.7,508,1249,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"03 Maxvorstadt",43.8,459,1048,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"04 Schwabing - West",43.9,668,1522,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"05 Au - Haidhausen",41.1,648,1577,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"06 Sendling",52.2,591,1132,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"07 Sendling - Westpark",57.2,761,1331,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"08 Schwanthalerhöhe",58.3,448,769,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"09 Neuhausen - Nymphenburg",47.5,1075,2262,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"10 Moosach",60.1,822,1367,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"11 Milbertshofen - Am Hart",73,1434,1965,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"12 Schwabing - Freimann",51,772,1515,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"13 Bogenhausen",45.5,978,2150,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"14 Berg am Laim",60.1,635,1056,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"15 Trudering - Riem",44.6,909,2039,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"16 Ramersdorf - Perlach",64.7,1874,2897,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"17 Obergiesing - Fasangarten",57.1,756,1324,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"18 Untergiesing - Harlaching",42.1,524,1244,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",46.4,1008,2173,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"20 Hadern",53.1,673,1267,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"21 Pasing - Obermenzing",38.9,732,1883,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"22 Aubing - Lochhausen - Langwied",52.8,536,1015,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"23 Allach - Untermenzing",38.4,289,752,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"24 Feldmoching - Hasenbergl",58.2,919,1578,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch bis 2 Jahre",2006,"25 Laim",56.2,672,1195,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (bis 2 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (bis 2 Jahre)",NA,NA,NA
"Migrationshintergrund Kinder","deutsch und nichtdeutsch 15 bis 17 Jahre",2022,"Stadt München",63.6,23594,37096,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch und nichtdeutsch) (15 bis 17 Jahre)","Hauptwohnsitzbevölkerung (deutsch und nichtdeutsch) (15 bis 17 Jahre)",NA,NA,NA
